1	Привет, Арам! Привет, Анна!	Բարև, Արա՛մ։ Բարև, Աննա՛։	Спасибо, Анна. До свидания, Арам!	Շնորհակալություն, Աննա՛։ Ցտեսություն, Արա՛մ։
2	Привет! Вода, пожалуйста.	Բարև։ Ջուր, խնդրում եմ։	Хлеб, пожалуйста. Спасибо! До свидания!	Հաց, խնդրում եմ։ Շնորհակալություն։ Ցտեսություն։
3	Это вход. Это выход.	Սա մուտք է։ Սա ելք է։	Это аптека. Аптека открыта.	Սա դեղատուն է։ Դեղատունը բաց է։
4	Здравствуйте! Извините, я не понимаю.	Բարև ձեզ։ Ներողություն, չեմ հասկանում։	Повторите, пожалуйста. Спасибо! До свидания!	Կրկնեք, խնդրում եմ։ Շնորհակալություն։ Ցտեսություն։
5	Я Анна. Я учительница.	Ես Աննան եմ։ Ես ուսուցիչ եմ։	Это Арам. Он врач. Мы не студенты.	Սա Արամն է։ Նա բժիշկ է։ Մենք ուսանող չենք։
6	Меня зовут Арам. Моя фамилия Саркисян.	Իմ անունը Արամ է։ Իմ ազգանունը Սարգսյան է։	Я из Еревана. Это мой друг. Его зовут Давид.	Ես Երևանից եմ։ Սա իմ ընկերն է։ Նրա անունը Դավիթ է։
7	Это сумка. Сумка новая.	Սա պայուսակ է։ Պայուսակը նոր է։	Это ключ. Ключ маленький. Это мой документ.	Սա բանալի է։ Բանալին փոքր է։ Սա իմ փաստաթուղթն է։
8	Это мои книги. Они новые.	Սրանք իմ գրքերն են։ Դրանք նոր են։	А это твои бумаги. Эти бумаги важные. Та сумка большая.	Իսկ սրանք քո թղթերն են։ Այս թղթերը կարևոր են։ Այն պայուսակը մեծ է։
9	У меня есть книга. У меня нет ручки.	Ես գիրք ունեմ։ Ես գրիչ չունեմ։	Здесь есть вода. Здесь нет хлеба. У тебя есть время?	Այստեղ ջուր կա։ Այստեղ հաց չկա։ Դու ժամանակ ունե՞ս։
10	У меня две книги. У Анны три ручки.	Ես երկու գիրք ունեմ։ Աննան երեք գրիչ ունի։	Эта книга стоит тысячу драмов. У меня есть тысяча драмов. Сколько стоит та книга?	Այս գիրքն արժե հազար դրամ։ Ես հազար դրամ ունեմ։ Որքա՞ն արժե այն գիրքը։
11	Я живу в Ереване. Я учу армянский.	Ես ապրում եմ Երևանում։ Ես հայերեն եմ սովորում։	Анна тоже учит армянский. Мы читаем и пишем. Арам сейчас работает.	Աննան էլ է հայերեն սովորում։ Մենք կարդում ենք և գրում։ Արամը հիմա աշխատում է։
12	Я иду домой. Анна идёт в школу.	Ես տուն եմ գնում։ Աննան դպրոց է գնում։	Я вижу Арама. Он читает книгу. Мы любим наш город.	Ես տեսնում եմ Արամին։ Նա գիրք է կարդում։ Մենք սիրում ենք մեր քաղաքը։
13	Это книга Анны. Я даю книгу Араму.	Սա Աննայի գիրքն է։ Ես գիրքը տալիս եմ Արամին։	Арам звонит маме. Папка мамы здесь. Я знаю имя твоего друга.	Արամը զանգում է մայրիկին։ Մայրիկի թղթապանակն այստեղ է։ Ես գիտեմ քո ընկերոջ անունը։
14	Наша квартира маленькая. Комната светлая.	Մեր բնակարանը փոքր է։ Սենյակը լուսավոր է։	Здесь есть большой стол и два стула. Моя сестра любит эту комнату. Окна новые.	Այստեղ կա մեծ սեղան և երկու աթոռ։ Իմ քույրը սիրում է այս սենյակը։ Պատուհանները նոր են։
15	Завтра я приду. Я принесу книгу.	Վաղը կգամ։ Գիրքը կբերեմ։	Позвони Анне. Принеси, пожалуйста, воду. Сегодня я не буду работать.	Զանգիր Աննային։ Բեր ջուրը, խնդրում եմ։ Այսօր չեմ աշխատի։
16	Я хочу чай. У вас есть чай без сахара?	Ես թեյ եմ ուզում։ Դուք առանց շաքարի թեյ ունե՞ք։	Мой друг хочет кофе. Сколько стоит кофе? Принесите, пожалуйста, и воду.	Իմ ընկերը սուրճ է ուզում։ Որքա՞ն արժե սուրճը։ Բերեք նաև ջուր, խնդրում եմ։
17	Я еду из Еревана. Я еду на автобусе.	Ես Երևանից եմ գալիս։ Ես ավտոբուսով եմ գալիս։	От остановки я иду пешком. Мой друг приезжает на такси. Вечером мы вернёмся домой на автобусе.	Կանգառից ոտքով եմ գնում։ Իմ ընկերը տաքսիով է գալիս։ Երեկոյան ավտոբուսով տուն կվերադառնանք։
18	Сейчас я в банке. Анна в офисе.	Հիմա ես բանկում եմ։ Աննան գրասենյակում է։	Мы работаем в Ереване. Вечером я буду дома. Позвони мне, пожалуйста, вечером.	Մենք աշխատում ենք Երևանում։ Երեկոյան տանը կլինեմ։ Զանգիր ինձ, խնդրում եմ, երեկոյան։
19	Завтра день рождения моего брата. Сегодня я звоню другу.	Վաղը եղբորս ծննդյան օրն է։ Այսօր զանգում եմ ընկերոջս։	Мы встретимся в конце недели. Мама моего друга тоже придёт. У нас есть время для небольшой встречи.	Շաբաթվա վերջում կհանդիպենք։ Ընկերոջս մայրն էլ կգա։ Մենք փոքր հանդիպման համար ժամանակ ունենք։
