номер	уровень	практическая тема	грамматика	активная лексика	чтение	речь	Конституция	повторение
1	A1	Первые буквы	гласные и первые согласные	անուն, լուսին, նոր, օր	слова на знакомые буквы	слово без подсказки	нет	нет
2	A1	Остальные буквы	три ряда согласных	հաց, ջուր, փող, փակ	первые вывески	различить звуки	нет	1
3	A1	Читаем в городе	ударение, ե, ո, ու, և	մուտք, ելք, բաց, դեղատուն	вывески у дома	читать без кириллицы	нет	1–2
4	A1	Переспрос и вежливость	готовые реплики, դու и դուք	խնդրում եմ, կրկնեք, ներողություն	диалог у стойки	попросить повторить	нет	1–3
5	A1	Кто я и кто вы	быть и не быть	ուսուցիչ, բժիշկ, հայերեն	знакомство с соседом	представиться	нет	3–4; затем повторение 1
6	A1	Личные данные	мой, твой, вопросы	անուն, ազգանուն, հասցե	анкета посетителя	назвать свои данные	Հայաստան	4–5
7	A1	Понятная вещь	артикль и неопределённость	բանալի, պայուսակ, փաստաթուղթ	записка о ключе	найти нужный предмет	Հանրապետություն	5–6
8	A1	Эти и те предметы	указатели, множественное	այս, այդ, այն, թուղթ	окно приёма	показать нужные бумаги	Հայաստանի Հանրապետություն	5–7; затем чтение A1-1
9	A1	Что есть и чего нет	ունենալ, կա, չկա	ունեմ, կա, տեղ, ժամանակ	свободное место	запросить наличие	քաղաքացի	5–8
10	A1	Цена и количество	число с существительным	հարյուր, հազար, դրամ, քանի	меню и чек	назвать сумму	պետություն	5,8,9; затем повторение 2
11	A1	Мой обычный день	настоящее и отрицание	աշխատել, ապրել, կարդալ, սպասել	сообщение коллеги	изменить лицо и место	Սահմանադրություն	5,6,9
12	A1	Кого вижу и что читаю	предмет и человек как объект	տեսնել, կարդալ, մարդ, նամակ	встреча у дома	кого ждёшь	օրենք	5,8,11; затем Конституция 1
13	A1	Чьи документы и кому звоню	родительный и дательный	զանգել, տալ, քաղաքացի, մայր	чужая папка	назвать владельца	քաղաքացու, Հայաստանի	6,11,12
14	A1	Как выглядит квартира	прилагательное без согласования	մեծ, փոքր, սենյակ, լուսավոր	объявление о комнате	описать жильё	հանրապետություն и պետություն	5,8,13
15	A1	Планы и просьбы	будущее, отрицание, команды	վաղը, գալ, բերել, խնդրել	доставка завтра	дать короткую инструкцию	օրենքը, Սահմանադրությունը	4,10,11
16	A1	Вопросы в кафе	вопрос, отрицание, переспрос	սուրճ, թեյ, առանց, շաքար	заказ у стойки	переспросить заказ	Հայաստան, քաղաքացի, օրենք	5–15; затем чтение, речь и контроль A1
17	A2	Откуда и на чём	-ից и -ով	ավտոբուս, տաքսի, ոտքով	дорога в учреждение	назвать маршрут	քաղաք, մայրաքաղաք	6,10,11,15
18	A2	Где находится	-ում и տանը	բանկ, փոստ, գրասենյակ	встреча в городе	объяснить своё место	մայրաքաղաքը Երևանն է	5,13,17; затем Конституция 2
19	A2	Время и семья	частотные особые основы	օր, շաբաթ, ընկեր, եղբայր	семейный календарь	договориться на неделю	մարդ, իրավունք	6,13,18
20	A2	Как было раньше	прошедшее с էի	երեկ, առաջ, երեկոյան	вечер без интернета	рассказать о привычке	պետական լեզու	9,11,18
21	A2	Когда прийти	часы, даты, дни	երկուշաբթի, ժամը, հանդիպում	расписание приёма	уточнить время	ընտրություն	10,15,19,20; затем повторение 3
22	A2	Что сделал вчера	простое прошедшее	գրել, ուղարկել, բացել	отправленное письмо	последовательность действий	ընտրել	11,15,20
23	A2	Пришёл, увидел, дал	частотное неправильное прошедшее	գնալ, գալ, տեսնել, տալ	потерянный документ	объяснить событие	նախագահ	12,13,20,22
24	A2	Ближайшие планы	-ելու եմ и կ-	վճարել, հանդիպել, պատրաստվել	завтрашние дела	назвать план и обещание	կառավարություն	15,20,22,23; затем чтение A2-1, Конституция 3
25	A2	Ориентиры вокруг	послелоги и управление	մոտ, դիմաց, հետևում, հետ	где курьер	дать ориентир	Ազգային ժողով	13,17,18
26	A2	Сравнить два варианта	более, самый, порядковые	էժան, թանկ, հարմար, առաջին	выбор квартиры	объяснить выбор	նախագահ и վարչապետ	8,10,14,25; затем повторение 4
27	A2	Нужно, могу, хочу	պետք է, կարող եմ, ուզում եմ	լրացնել, ստուգել, ստորագրել	подготовка заявления	попросить помощи	իրավունք, պարտականություն	11,15,23; затем Конституция 4
28	A2	Кто-нибудь и никто	неопределённость и отрицание	մեկը, բոլորը, ոչ ոք, ոչինչ	сообщения в чате дома	уточнить, кто поможет	բոլորը, յուրաքանչյուր ոք	9,11,16
29	A2	Связать мысли	потому что, если, но	որովհետև, եթե, բայց, արդեն	изменение планов	объяснить причину	օրենքի առջև	15,20,24,27
30	A2	На приёме у врача	жалоба, просьба, совет	ցավ, ջերմություն, բժիշկ	запись на приём	описать симптомы	իրավունք բառի կրկնություն	9,21,27,29; затем повторение 5
31	A2	Заказ и оплата	вежливая просьба, առանց	հաշիվ, քարտ, կանխիկ	ошибка в заказе	попросить исправить	քվեարկություն	10,13,16,27; затем Конституция 5
32	A2	Как добраться	команды и запреты	աջ, ձախ, ուղիղ, կանգառ	изменённый маршрут	диктовать дорогу	համայնք	15,17,18,25
33	A2	Телефон и уточнение	просьбы и вопросительные слова	կապ, լսել, կրկնել, դանդաղ	курьер по телефону	проверить услышанное	տեղեկություն	4,6,21,32
34	A2	Работа и быт	настоящее, прошлое, план	աշխատանք, եղանակ, պայման	договорённость с коллегой	рассказать о трёх днях	первые 5 тем	11,20–33; затем чтение, речь и контроль A2
35	B1	Что уже сделано	-ել եմ, результат и опыт	արդեն, դեռ, ուղարկել, ստանալ	статус заявления	сообщить результат	դիմում	20,22,23,27
